EmployeeID,Age,Department,Salary,YearsAtCompany,PerformanceScore,TrainingHours,SatisfactionScore,Attrition
EMP00001,50,Sales,73524.21,12,Low,68.0,2.0,No
EMP00002,36,Engineering,99543.08,0,Exceeds Expectations,62.0,1.0,Yes
EMP00003,29,Sales,90467.96,7,Meets Expectations,49.0,5.0,No
EMP00004,42,Marketing,80829.63,4,Meets Expectations,84.0,5.0,No
EMP00005,40,Engineering,84700.07,19,Needs Improvement,71.0,1.0,Yes
EMP00006,44,HR,60549.42,16,Meets Expectations,15.0,4.0,No
EMP00007,32,Sales,47569.19,8,Meets Expectations,13.0,4.0,No
EMP00008,32,Engineering,103162.79,12,Meets Expectations,64.0,2.0,No
EMP00009,45,Sales,102342.65,12,Needs Improvement,97.0,3.0,Yes
EMP00010,57,Engineering,124612.36,4,Exceeds Expectations,78.0,2.0,No
EMP00011,45,Engineering,65249.57,13,Exceeds Expectations,12.0,2.0,No
EMP00012,24,Finance,102320.38,10,Meets Expectations,16.0,2.0,No
EMP00013,43,HR,77907.33,13,Meets Expectations,97.0,1.0,No
EMP00014,23,Engineering,114761.87,6,Needs Improvement,95.0,5.0,No
EMP00015,45,Finance,110549.07,16,Exceeds Expectations,21.0,5.0,No
EMP00016,51,Marketing,90280.23,3,Needs Improvement,26.0,3.0,Yes
EMP00017,59,Finance,76511.75,9,Low,76.0,4.0,No
EMP00018,23,Engineering,109023.3,9,Meets Expectations,84.0,2.0,Yes
EMP00019,42,Engineering,101172.61,14,Exceeds Expectations,79.0,1.0,No
EMP00020,54,Sales,67888.99,19,Meets Expectations,45.0,1.0,No
EMP00021,33,Marketing,51805.03,11,Needs Improvement,26.0,2.0,Yes
EMP00022,43,Sales,,8,Meets Expectations,95.0,,No
EMP00023,46,Engineering,,2,Meets Expectations,10.0,1.0,No
EMP00024,48,Engineering,113662.18,14,Meets Expectations,76.0,2.0,No
EMP00025,49,Engineering,57191.81,11,Meets Expectations,89.0,3.0,Yes
EMP00026,37,HR,55806.06,14,Exceeds Expectations,87.0,1.0,No
EMP00027,36,Sales,116867.1,0,Meets Expectations,58.0,5.0,No
EMP00028,24,Engineering,56609.1,14,Meets Expectations,60.0,5.0,No
EMP00029,58,HR,97732.38,10,Meets Expectations,80.0,,No
EMP00030,28,Finance,69598.22,4,Meets Expectations,99.0,2.0,No
EMP00031,42,Marketing,125426.12,6,Meets Expectations,,5.0,No
EMP00032,30,Finance,65739.38,11,Low,40.0,4.0,No
EMP00033,39,Marketing,113584.04,19,Meets Expectations,33.0,1.0,No
EMP00034,25,Engineering,89621.47,5,Meets Expectations,92.0,3.0,No
EMP00035,46,Sales,91304.87,2,Exceeds Expectations,46.0,5.0,No
EMP00036,35,HR,35742.29,9,Needs Improvement,74.0,2.0,No
EMP00037,30,HR,29927.17,3,Outstanding,98.0,3.0,No
EMP00038,47,HR,79485.85,12,Meets Expectations,72.0,2.0,Yes
EMP00039,23,Engineering,91172.65,18,Meets Expectations,,,No
EMP00040,41,Engineering,56870.05,4,Low,83.0,,No
EMP00041,49,Engineering,57782.66,17,Meets Expectations,,,No
EMP00042,28,Engineering,99036.82,0,Exceeds Expectations,74.0,3.0,No
EMP00043,29,Sales,99071.36,15,Outstanding,38.0,4.0,No
EMP00044,56,Marketing,81556.47,15,Meets Expectations,86.0,4.0,No
EMP00045,35,Sales,104505.04,15,Meets Expectations,13.0,4.0,No
EMP00046,38,Sales,55644.94,18,Exceeds Expectations,21.0,2.0,No
EMP00047,57,Engineering,76101.63,15,Exceeds Expectations,65.0,1.0,No
EMP00048,25,HR,126196.94,0,Outstanding,57.0,2.0,No
EMP00049,23,Engineering,86708.05,19,Meets Expectations,28.0,5.0,Yes
EMP00050,27,Engineering,88157.81,19,Exceeds Expectations,35.0,4.0,No
EMP00051,25,Engineering,142648.66,9,Needs Improvement,47.0,1.0,Yes
EMP00052,50,Engineering,50016.45,1,Meets Expectations,89.0,4.0,No
EMP00053,39,Finance,104910.76,13,Needs Improvement,34.0,1.0,No
EMP00054,47,Finance,126599.66,7,Meets Expectations,65.0,2.0,Yes
EMP00055,55,Engineering,76878.55,5,Meets Expectations,,2.0,Yes
EMP00056,31,Engineering,106490.77,2,Low,37.0,4.0,No
EMP00057,57,Marketing,60449.51,15,Meets Expectations,70.0,3.0,No
